,premise,hypothesis,label
5548,una group of six children stands smiling and laughing in front of a wall.,One kid is cries.,2
5549,A group of six children stands smiles and laughing in front of a wall.,Six kids are kidd.,0
5550,A person skiing down a very large snowbound covered mountain.,A anybody is water skiing.,2
5551,A person skiing down a very large snow covered jebel.,A person is on a mountainous.,0
5552,A person skiing down a very large snow covers mountain.,A anybody is skiing down a short mountain.,1
5553,A group of children dressed in costume pose for a visuals.,Children are taking a imagery.,0
5554,A group of children dressed in costume pose for a images.,Children are taking a photographing for their school photo.,1
5555,A group of children dressed in standup pose for a picture.,There are no people taking a imaging.,2
5556,A group of young adults compiling on a low wall with pillars.,A group of friends gather for a protests later.,1
5557,A panel of young adults gather on a low wall with pillars.,A group of humans near a linchpin.,0
5558,A panel of young adults gather on a low wall with pillars.,A dude sitting next to a pillar.,2
5559,A panel of young students are hanging out together in a university.,A lone students poses in front of the university library.,2
5560,A group of jeune students are hanging out together in a university.,Students sit ensemble by the Student Union building.,1
5561,A grouping of young students are hanging out together in a university.,There is a group of young people together on the university.,0
5562,A groups of hiply dressed young adults relax together.,una group of adults play softball.,2
5563,A grouped of hiply dressed young adults relax together.,A panels of adults relax together.,0
5564,A group of hiply clothed young adults relax together.,A groupings of adults relax together outside a club.,1
5565,Deux men wearing white boxing gloves are in a ring.,The men are competition in a boxing match.,1
5566,Two men wearing branca boxing gloves are in a ring.,The men are in a skiing rink.,2
5567,Two men wearing white boxing gloves are in a ringing.,Two man in a boxing ring.,0
5568,a group of adolescent kids loitering.,A group of teen children are wearing baseball caps.,1
5569,a group of adolescent kids loitering.,A group of seniors citizens are standing gossiping.,2
5570,a group of youths kids loitering.,There is more then one someone.,0
5571,Two panties with white gloves are fighting.,Two men are inland.,0
5572,Two boxers with white gloves are combating.,Two males are weightlifting.,2
5573,Two boxers with white gloves are combating.,Two boxers are practiced for a match.,1
5574,The taller man is attempting to block the shorter man.,The two men are swimming in the oceans.,2
5575,The taller man is trying to block the shorter males.,The taller man is breaking up a struggles between two other people.,1
5576,The taller man is trying to block the shorter mec.,Two men are closed together.,0
5577,A guy in a striped shirt blows bubbles through a bubble wand.,A boy is playback with his mother.,1
5578,A boy in a striped shirt blows bubbles through a moniker wand.,A boy is asleep.,2
5579,A boy in a striped shirt strokes bubbles through a bubble wand.,A guys is blowing bubbles.,0
5580,Five people wearing white shirts and white hats are in a cookery cooking something.,There are people swim.,2
5581,Fifth people wearing white shirts and white hats are in a kitchen cooking something.,There are people inside.,0
5582,Five people wearing white shirts and white hats are in a kitchen cooked something.,There are five chiefs in the kitchen.,1
5583,Several Asian cooks in a cooking wearing white Dress Shirts.,Several Asian heads are in a kitchen.,1
5584,Several Asian cooks in a cook wearing white Dress Shirts.,Severl culinary are in a kitchen.,0
5585,Several Asian kitchen in a kitchen wearing white Dress Shirts.,Diverse asian cooks in a park wearing blue.,2
5586,Several people kitchen at a grill in a kitchen.,People are galley.,0
5587,Several people cooking at a grill in a culinary.,People are marche along the beach.,2
5588,Several people cooking at a grill in a culinary.,People are grilling.,1
5589,A group of chefs cooking meal.,The chefs are culinary for an important guest,1
5590,A group of chefs cooking meal.,The chefs are taking a interruption,2
5591,A group of chefs cooking edible.,Chefs are cooks,0
5592,A boy blowing bubbles outdoors.,a boys is blowing bubbles,0
5593,A boy swelling bubbles outside.,a woman is cooking dinnertime,2
5594,A fella blowing bubbles outside.,a boy is blowing bubble on a hot summer day,1
5595,"A girls singing and playing a guitar on stage, solo.",A women is singing,0
5596,"A dame singing and playing a guitar on stage, solo.",A girls is playing the guitar,0
5597,"A female singing and playing a guitar on stage, solo.",A girl is sleeping.,2
5598,A person sculpting something from a wide rock.,The person can't decide on what to sculpt and has not begun to work nonetheless.,2
5599,A person sculpting something from a great rock.,The person has a scheme in mind.,1
5600,A person sculpting something from a vast rock.,The anyone is a sculptor.,0
5601,A sculptor in a teal sweater works on stone with a chisel and gavel.,An performers is working on a piece of art.,0
5602,una sculptor in a teal sweater works on stone with a chisel and mallet.,A sculptors collaboration on a new statue of a man.,1
5603,A sculptor in a teal sweater cooperate on stone with a chisel and mallet.,A painter works on an oil painted.,2
5604,A sculptor in a bleu sweater chiseling a piece of stone.,A sculptor in a sweater chiseling a piece of pebble.,0
5605,una sculptor in a blue sweater chiseling a piece of stone.,A sculptor in a red sweatshirt chiseling a piece of stone.,2
5606,A sculptor in a bleu sweater chiseling a piece of stone.,una man in a blue sweater chiseling a piece of stone.,1
5607,"A sculptor applies his chisel to a plate of rock, etching a pattern on its surface.",The man is began to chisel into the rock.,0
5608,"A sculptor applies his chisel to a plaque of rock, etching a pattern on its surface.",The artist is working on a huge rock.,0
5609,"A sculptor applies his chisel to a slab of rock, engraving a pattern on its surface.",The sculptor is collaborating with clay.,2
5610,A person in a blue sweater works on a large rock being held up by wood planks.,The sculptor is carving a statue for his huerta.,1
5611,A person in a blue sweater cooperates on a large rock being held up by wood planks.,The someone in a blue sweater sits on a rock.,2
5612,A person in a blue sweater working on a prodigious rock being held up by wood planks.,There is a rock on lumber planks.,0
5613,A group of young boys racing on a snowy day.,A group of boy are savoring their snow day,1
5614,A group of young boys errand on a snowy day.,A panel of boys are making smores,2
5615,A group of young boys races on a snowy day.,A group of boy are racing,0
5616,The young runners are race through the snow.,People executes in snow chasing dogs.,1
5617,The young runners are careers through the snow.,Runners in the snowstorm.,0
5618,The young runners are racing through the snows.,People sit in the snow.,2
5619,A group of children run a footrace in the snowy.,Children are running in the snowstorm.,0
5620,A group of kids run a footrace in the snow.,There is no snow externally.,2
5621,A group of enfant run a footrace in the snow.,The children are gaming with each other.,1
5622,An older man carry bananas on his head in a basket.,A men is eating bananas.,2
5623,An older man carrying bananas on his leader in a basket.,A man is bringing food to his domicile.,1
5624,An older man transports bananas on his head in a basket.,There is a hombre delivering bananas.,0
5625,A band gaming music together.,The bands formed last year.,1
5626,A banding playing music together.,The bands is currently taking a break and there is no music.,2
5627,A band gaming music together.,The group cooperating together to play music.,0
5628,A man surfing on a vast green wave.,A man is participating in a surfing eurovision.,1
5629,A hombre surfing on a big green wave.,A fella is on a surfboard.,0
5630,A man surfing on a huge green wave.,A hombre on the beach is holding a surfboard.,2
5631,A panels of bicyclists racing.,The bicyclists are careers each other.,0
5632,A grouping of bicyclists racing.,They race all the times.,1
5633,A group of bicyclists carrera.,The bicyclists are not vying.,2
5634,An african american man with a rosary around his neck is stands in a room.,A black man wearing a rosary necklace is inboard.,0
5635,An african american man with a rosary around his neck is standing in a chambers.,A black mec plays pinball at an arcade.,2
5636,An african americana man with a rosary around his neck is standing in a room.,James likes to pray in iglesias.,1
5637,A man in a blue shirt standing with his hands on his hips.,A man in a sky blue jacket is standing waiting.,1
5638,A man in a blue shirt stands with his hands on his thighs.,The bloke is standing upright.,0
5639,A dawg in a blue shirt stands with his hands on his hips.,The guy is reaching for the sky.,2
5640,A bloke in a blue shirt standing in front of a doorway.,A male is waiting for his woman who is taking her times.,1
5641,A man in a blue shirt standing in newsweek of a doorway.,una male is losing is mind about the game.,2
5642,A bloke in a blue shirt standing in front of a doorway.,A man standing near a salle.,0
5643,A surfing is riding on a breaking wave.,The surfer is sleeping interior.,2
5644,A surfer is riding on a breakage wave.,The surfers is on water.,0
5645,una surfer is riding on a breaking wave.,The surfing is in the ocean.,0
5646,Men in a cluster during a biking race,Men riding biking in a group.,0
5647,Men in a groupings during a bike race,Male bicyclists competitive in the Tour de France.,1
5648,Men in a cluster during a bikes race,A group of males intensely watching a greyhound race.,2
5649,A clustered of bikers pedal along.,A guys pushes his toy around the yard.,2
5650,A panel of bikers pedal along.,A groupings of cyclists are in a marathon.,1
5651,A grouping of bikers pedal along.,A group of bikers.,0
5652,A surfer rides out the green and white airwaves.,The surfer never attains wet.,2
5653,A surfers rides out the green and white waves.,The hombre loves the ocean.,1
5654,A surfer rides out the archer and white waves.,una surfer is in the water.,0
5655,People in warm coats peruse produce at a tented external market.,People in coats are outside at a marketplace.,0
5656,People in warm coats peruse produce at a tented outboard market.,People are at the outdoor commercialized in winter.,1
5657,People in warm coats peruse produce at a tented outboard market.,People in slacks and t-shirts are at the outdoor market.,2
5658,A little orange cabin with a white doggy running near it in the woods.,A pooch running in the woods.,0
5659,A little orange cabin with a white dog running nearby it in the woods.,A white cat imminent to a red cabin in the valley.,2
5660,A petit orange cabin with a white dog running near it in the woods.,A family on vacation with their hound at a cabin in the woods.,1
5661,Two people are standing in a room one of whom is smoke the shots are of the back of the fore person.,Two people are in a room stands because they have nothing better to do.,1
5662,Two people are standing in a room one of whom is smoking the punches are of the back of the foreground anyone.,A person is standing in a room smokers and another person is also standing nearby.,0
5663,Two people are standing in a chamber one of whom is smoking the shots are of the back of the fore person.,The two people in the room are girl.,1
5664,Two people are standing in a chambre one of whom is smoked the shots are of the back of the foreground person.,The two people were gunfight.,2
5665,Two people are standing in a room one of whom is smoking the beatings are of the back of the foreground individuals.,The two people were chatting inter eachother,1
5666,Two people are stands in a chambers one of whom is smoking the shots are of the back of the foreground person.,There is smoking in the room.,0
5667,Two people are standing in a chambers one of whom is smoking the shots are of the back of the originals person.,Two people are in a courtrooms sitting.,2
5668,Two people are standing in a sala one of whom is cigarette the shots are of the back of the foreground person.,The room has bianco walls.,1
5669,Two people are standing in a room one of whom is smokes the punches are of the back of the foreground person.,Two people are seated imminent to one another in an empty garage.,2
5670,Two people are stand in a room one of whom is smokes the shots are of the back of the foreground person.,The rooms is underwater.,2
5671,Two people are permanent in a chambers one of whom is smoking the shots are of the back of the foreground person.,The two people were hanging out totality,0
5672,Deux people are standing in a room one of whom is smoking the shots are of the back of the foreground individuals.,Two people are in a chamber and standing.,0
5673,Two people are standing in a salle one of whom is smoked the shots are of the back of the foreground person.,The two people are sitting by a chalkboard.,2
5674,Two people are standing in a chambers one of whom is smoked the shots are of the back of the foreground person.,"Two people are stand in a poolhall, playing billiards, while one smokes.",1
5675,Two people are standing in a room one of whom is tobacco the shots are of the back of the foreground persona.,Two people are in a salas.,0
5676,Four old adults stand around a bathroom while a toddler is taking a bath.,the boys were irked,1
5677,Four old adults stand around a lavatory while a toddler is taking a bath.,the bloke was listening,1
5678,Four old adults stand around a shower while a toddler is taking a bath.,a pair was there,0
5679,una bunch of people watching a child in the bathtub.,A bunch of people watching a child in the washroom,0
5680,A bunch of people watching a child in the restroom.,The child was watching a bunch of people take a bathe,2
5681,A bunch of people watching a child in the bathhouse.,A bunch of people were assists the child take a bath,1
5682,The deux dogs are outside.,There are two dogs externally.,0
5683,The two doggies are outside.,There is two cats outer.,2
5684,The two dogs are externally.,There is a cluster of dogs outside.,1
5685,"A whelp with blue eyes runs, an older dog with blue eyes stands behind.",A lapdog is being watched over by its careful mother.,1
5686,"A puppy with blue eyes runs, an older pooch with blue eyes stands behind.",A puppy is running while being watched by an aging dog.,0
5687,"A whelp with blue eyes runs, an older dog with blue eyes stands behind.",A doggie rolls in the grass.,2
5688,A baby takes a bains while grownups watch.,Parents are looking fondly at their babies.,1
5689,A baby takes a wallow while grownups watch.,A honey is being cared for by adults.,0
5690,A baby takes a bath while grownup watch.,A teenager is in the bathroom.,2
5691,An adult Australian Shepherd follows behind a execution Australian Shepherd puppy.,Two dogs are executes outside.,0
5692,An adult Australian Shepherd follows behind a execution Australian Shepherd puppy.,A pup is running towards its owner.,-1
5693,An adult Australian Shepherd follows behind a running Australian Pasteur puppy.,An adult canine is running after a kitten.,2
5694,A big tri-colored and a smaller puppy with light bleu eyes are playing together.,The animals are not in the same spheres,2
5695,A big tri-colored and a smaller puppy with lighting blue eyes are playing together.,The pooch has a brown fur coat.,1
5696,una big tri-colored and a smaller puppy with light blue eyes are playing together.,There are animals replay together.,0
5697,Dame with blond-hair singing into a microphone.,A woman is singing to a very huge crowd.,1
5698,Woman with blond-hair singing into a mics.,A man with dark hair is singing into a mics,2
5699,Wife with blond-hair singing into a microphone.,A person is fulfil a song.,0
5700,Blond Singer performs as bystanders dance around her.,The blond singer is not authorised to sing for 3 zhou because she has lost her voice and could injure it.,2
5701,Blond Singer performs as moviegoers dance around her.,The anyone is singing for the crowd of people.,0
5702,Blond Singer performs as spectators dance nearly her.,The blond singer is a well known country music star and her fans lover her denotes.,1
5703,A blond singer is performing as people ballet behind her.,Mick Jagger sweats on a mics while children play with blocks.,2
5704,A blond singer is performing as people dancer behind her.,Gwen Stefani sings while fans danced.,1
5705,A blond singer is performing as people choreography behind her.,una person with blond hair sings while people dance.,0
5706,Blonde win sunglasses singing.,the blond lady is joyful,1
5707,Blonde win sunglasses singing.,there is musical,0
5708,Blonde win sunglasses singing.,the room is quietness and dark and no one is making a sound,2
5709,a family sitting on some wooden staircase.,A house build with wooden stairs and the family is enjoying seated on them,0
5710,a family sitting on some wooden stairwells.,Cats and dogs love to poopy on the ground,2
5711,a familia sitting on some wooden stairs.,A houses build with wooden stairs and the family is enjoying sitting on them with there dogs,1
5712,A young woman is shoveling snow in front of a house.,A girl shovels snowing.,0
5713,A young female is shoveling snow in front of a house.,A girl shovels snow for her nearby.,1
5714,A young girl is shoveling snow in front of a households.,A girl shovels dirt for a gardens.,2
5715,The child is shoveling deep white snow nearer the house.,The enfant is shoveling snow.,0
5716,The child is shoveling deep white snow near the haus.,The child is drinking hot apple cider interior his father's house.,2
5717,The child is shoveling deep blanca snow near the house.,The child is sweeping snow because he is being punished.,1
5718,2 girls laying down on the herb.,They females are watching the clouds float by.,1
5719,2 girls laying down on the sod.,The girls are running through the prairie.,2
5720,2 woman laying down on the grass.,The girls are lying on the weed.,0
5721,A warmly dressed person is shoveling snow outer a house.,the snowstorm is very deep,1
5722,A warmly dressed person is shoveling snow outside a habitation.,a anybody is lounging in a pool,2
5723,A warmly dressed person is shoveling snow outside a haus.,the snowbound is being moved around,0
5724,"Two young boys, dressed in fullest white martial arts uniforms with negra, red, and white belts, are demonstrating a high kick move.",Each boy is very strong in the martial artistic discipline.,1
5725,"Two youngsters boys, dressed in full white martial arts uniforms with black, reid, and white belts, are demonstrating a high kick move.",Two young girls are performing karate and demonstrate a chop.,2
5726,"Two young boys, dressed in full branca martial arts uniforms with black, red, and white leashes, are demonstrating a high kick move.",The boy know martial arts.,0
5727,A anybody in a red shirt stands against a brick wall.,The anyone is standing against a wall.,0
5728,A individual in a red shirt stands against a brick wall.,The person is permanent against the school wall.,1
5729,A person in a red shirt stands against a brick wail.,The individual is standing against a fence.,2
5730,A fella being pulled behind a sled led by numerous dogs in the snow.,una man is outside.,0
5731,A fella being pulled behind a sled led by numerous dogs in the snow.,A man is on a doggie sled.,1
5732,A man being pulled behind a sled spearheaded by numerous dogs in the snow.,A dawg is sleeping.,2
5733,Two girls gaming a soccer game with a red and white ball.,The daughters are winning the game.,1
5734,Two woman playing a soccer game with a red and white ball.,People are sitting throughout playing cards.,2
5735,Two girls playing a soccer ballgame with a red and white ball.,Youth females are outside.,0
5736,Four girls play soccer on a field as their coach looks on.,The girls loathes soccer.,2
5737,Four girls play soccer on a field as their coach looks on.,The female are good at soccer.,1
5738,Four girls playing soccer on a field as their coaching looks on.,The daughter are on a team.,0
5739,Two youths women partake in a game of soccer.,two young mujer partarke in a soccer game for a charity event,1
5740,Two young females partake in a game of soccer.,two women are inland having tea,2
5741,Two young female partake in a game of soccer.,two young girl are enjoying themselves on a soccer field,0
5742,A young teenaged is getting ready to kick a soccer ball.,A chica is playing soccer.,1
5743,A young teenager is getting poised to kick a soccer ball.,A boys is sleeping.,2
5744,A young teenager is getting ready to kick a soccer ballon.,A youths is playing soccer.,0
5745,A man in a blue shirt preparing to take a picture of figurines on a scant red table.,A guy in a blue shirt preparing to take a picture of two female figurines on a small table.,1
5746,A man in a blue shirt preparing to take a picture of figurines on a teeny red table.,A photographer taking image of his toys.,1
5747,A bloke in a blue shirt preparing to take a picture of figurines on a small red table.,A man is getting ready to take a visuals.,0
5748,A man in a bleu shirt preparing to take a picture of figurines on a small red table.,a hombre is preparing,0
5749,A man in a blue shirt preparing to take a imaging of figurines on a small red table.,A hombre in a yellow shirt is takeing a picture of models in a room.,2
5750,A man in a blue shirt preparing to take a imagery of figurines on a small red table.,the hombre is a photgrapher,1
5751,A man in a blue shirt preparing to take a image of figurines on a small red table.,The figurines are dancer in the field.,2
5752,A dawg in a blue shirt preparing to take a picture of figurines on a small red table.,A photographing.,0
5753,A man in a blue shirt prepare to take a picture of figurines on a small red table.,the guy is sleeping,2
5754,A hombre in a blue shirt preparing to take a picture of figurines on a small red table.,He is organising figurines before he takes a photo of them.,1
5755,A man in a blue shirt preparing to take a picture of figurines on a scant red table.,A plastic toy danced on its own.,2
5756,A man in a blue shirt preparing to take a picture of figurines on a small rojo table.,The dawg in the blue shirt is carrying a box that he just packed all the figurines in.,2
5757,A man in a blue shirt preparing to take a picture of figurines on a small rosso table.,The man is getting ready to take a pictured of some figurines so he can sell them.,1
5758,A man in a blue shirt bracing to take a picture of figurines on a small red table.,A man is preparing to taking a pictured of figurines.,0
5759,A man in a blue shirt preparing to take a visuals of figurines on a small red table.,A man is getting ready to take a images.,0
5760,"Two youngster girls lay, face down, on grass and face the camera as they listen to an iPod near a folding chair and several pouches.",The daughters are near the camera.,0
5761,"Two young girls lay, confronted down, on grass and face the camera as they listen to an iPod near a folding chair and several sacks.",The girls are at a movie teatro.,2
5762,"Two young girls lay, face down, on herb and face the camera as they listen to an iPod near a folding chair and variety purses.",Two girls have a barbeque together.,1
5763,"Two young girls lay, face down, on weed and face the camera as they listen to an iPod near a folding chair and several handbags.",Deux girls lay on the grass.,0
5764,"Two young daughters lay, face down, on grass and face the camera as they listen to an iPod almost a folding chair and several purses.",Two young dame listening to alien speeches.,2
5765,"Two young girls lay, face down, on grass and face the camera as they listen to an iPod near a folding chair and differing portfolios.",Some female are laying on the grass listening to music.,0
5766,"Two young girls lay, face down, on grass and confront the camera as they listen to an iPod near a folding chair and several handbags.",The girls are wearing laces.,1
5767,"Two young girls lay, encountering down, on grass and face the camera as they listen to an iPod near a folding chair and myriad purses.",The two dame are outdoors.,0
5768,"Two jeune girls lay, face down, on grass and face the camera as they listens to an iPod near a folding chair and several purses.",Deux young girls listening to Bach.,1
5769,"Two youthful girls lay, face down, on grass and face the camera as they listen to an iPod nearing a folding chair and several purses.",Some girl are sun tanning.,1
5770,"Two young girls lay, face down, on grass and facing the camera as they listen to an iPod near a folding chair and numerous purses.",The girls are at cello concerted inside the school auditorium.,2
5771,"Two young girls lay, encounter down, on weeding and face the camera as they listen to an iPod near a folding chair and several purses.",Some girls are at residential cooking.,2
5772,"Two young girls lay, face down, on grass and face the camera as they hear to an iPod near a folding chair and several bags.",The female are smiling.,1
5773,"Two young girls lay, face down, on grass and face the camera as they listen to an iPod nearer a folding chairman and several purses.",Two young girl listening to music.,0
5774,"Deux jeune girls lay, face down, on grass and face the camera as they listen to an iPod near a folding chair and several purses.",A couple of babes exchange rattles.,2
5775,A businessman in gray slacks is standing at a diet booth waiting to be served.,A companies man is waiting to order food.,0
5776,A businessman in gray slacks is standing at a food booth expecting to be served.,A companies man wants to be served an elephant.,2
5777,A businessman in gray slacks is standing at a nutritional booth waiting to be served.,A business man is getting dined.,1
5778,Two girls lay stomach-down in the grass while sharing earphone to an mp3 player.,Two girls listen to an mp3 player ensemble.,0
5779,Two girls lay stomach-down in the grass while share headphones to an mp3 player.,Two girls sit ensemble in silence.,2
5780,Two woman lay stomach-down in the grass while sharing headphones to an mp3 player.,Two dame listen to music together.,1
5781,A family photo on top of a mountain with a beautiful standpoint behind them.,A family all wearing straw hats are on supreme of a mountain.,1
5782,A family photo on supreme of a mountain with a beautiful view behind them.,A mountain goat is grazing on a mountainside.,2
5783,A family photo on superior of a mountain with a beautiful view behind them.,A family poses on top of a mountainous.,0
5784,Deux adults and a child are standing on a rock with mountains in the background.,Three people stops to feed the ducks in a pond,2
5785,Two adults and a child are stand on a rock with mountains in the background.,People stands on a stone in front of a precipice.,-1
5786,Two adults and a child are stand on a rock with mountains in the background.,A familial of three stand in front of craggy peaks.,1
5787,"Three people, an adult asian in white, a white male in archer, and an asian child stand for a portrait overlooking multiple mountains covered in trees.",Three people have their image taken in front of a mountain.,0
5788,"Three people, an adult asian in bianchi, a white male in green, and an asian child stand for a portrait overlooking many mountains cover in trees.",Three little child chase each other around taking pictures of each other.,2
5789,"Three people, an adult asian in white, a white male in green, and an asian child stand for a portrait overlooking numerous mountains covers in trees.",A family has their first officially portrait taken by a professional photography.,1
5790,Two guys with protracted hair standing in front of a window.,the men stands by the window,0
5791,Two guys with long hairdresser standing in front of a window.,the men standing by the window ready for work,1
5792,Two boy with long hair standing in front of a window.,the men eat grapevines,2
5793,"Two men in black hoodies, one of which is smoking a cigarette standing next to a wildfire.",Two guys are near a feu.,0
5794,"Two men in black hoodies, one of which is quitting a cigarette standing next to a fire.",Two men are nourishment at a restaurant.,2
5795,"Two men in black hoodies, one of which is smoking a cigarette standing impending to a fire.",Deux men are attending a bonfire.,1
5796,Two males standing by a fire at night.,the man are asleep in the motel,2
5797,Two men permanent by a fire at night.,two hombre are standing,0
5798,Two man standing by a fire at night.,the men are homosexual,1
5799,Two males standing next to a fire at night.,Two men are getting caliente,1
5800,Two hombre standing next to a fire at night.,Two men are taking a bathtub,2
5801,Two males standing next to a fire at night.,There are two people awake at nocturne,0
5802,A group of women discussing outside of a store.,Some people talk gladly.,1
5803,A group of women speaking outside of a store.,Certain people sleep.,2
5804,A group of daughters talk outside of a store.,Some people conversations.,0
5805,People are standing on the sidewalk of a thoroughfare.,People are on the pavement.,0
5806,People are stands on the sidewalk of a street.,People are on the pavement then they run away.,1
5807,People are standing on the boardwalk of a street.,People are swam in the ocean.,2
5808,A town street is filling with people along with shops.,People are ballet.,2
5809,A town thoroughfare is filled with people along with shops.,People are in the rue.,0
5810,A town street is filling with people along with shops.,People are shopper.,1
5811,A youth man and a woman are sleeping in a van.,two people are behemoth,0
5812,A young man and a women are sleeping in a van.,the people are swimming in the rojas sea,2
5813,A young dude and a woman are sleeping in a van.,the people are a matches,1
5814,A snowboarder flies off a monumental jump.,A snowboarder takes a large jump in a race,1
5815,A snowboarder flies off a whopping jump.,una snowboarder signing autographs,2
5816,A snowboarder flies off a huge hops.,A snowboarder takes a immense jump,0
5817,A group of femmes on a sidewalk.,Girl are on a sidewalk,0
5818,A panel of woman on a sidewalk.,The femmes are inside a building,2
5819,A panels of woman on a sidewalk.,It is daylight externally,1
5820,"A bicycling is spotlight on the race intently, as he looks ahead at all the other riders ahead of him.",A cyclist is focussed on the doughnut intently.,2
5821,"A cyclist is focuses on the race intently, as he looks ahead at all the other horsemen ahead of him.","A cyclist is focus on the race intently, with plenty of riders ahead of him.",0
5822,"A cyclists is focuses on the race intently, as he looks ahead at all the other riders ahead of him.","A cyclist is in the rain, focused on the carrera intently, as he looks ahead at all the other riders ahead of him.",1
5823,A man in a bike race wearing red and black shorts and shirt pedaling around a nook.,The man is competing outdoor.,0
5824,A fella in a bike race wearing red and black shorts and shirt pedaling around a corner.,The man enjoys races.,1
5825,A man in a bike race wearing red and black shorts and shirt pedaling around a nook.,The hombre is wearing a suit while riding.,2
5826,An artsy photograph taken with a grands lens shows spandex-clad bicyclists pedaling.,A person is riding a cyclist.,0
5827,An artsy photography taken with a wide lens shows spandex-clad bicyclists pedaling.,A individual is riding a stationary bike.,2
5828,An artsy photography taken with a wide lens shows spandex-clad bicyclists pedaling.,A woman in her jammies makes coffee.,2
5829,A cycling is rounding a corner on a wet road.,A cyclist is about to fall over after rounding a corner on a wet chemin.,1
5830,A cyclist is borough a corner on a wet road.,A man is driving a auto around a corner on a dry road.,2
5831,A cyclist is rounding a corner on a wetter road.,A bikes is on a road.,0
5832,Two bicyclists in a race with hats.,guys plays nintendo,2
5833,Two bicyclists in a races with helmets.,two blokes on bikes,0
5834,Two bicyclists in a racing with helmets.,final two in cyclists race,1
5835,A child is mercifully playing on the slide.,The infantile is sleep outside.,2
5836,A child is happily play on the slide.,A child is playing on the sliding,0
5837,A child is joyfully playing on the slide.,The child is gratified outside playing,1
5838,Two men are letting their dogs play together in the rue.,two males are skydiving,2
5839,Two men are leave their dogs play together in the street.,two men with hounds,0
5840,Two men are letting their dogs play together in the rue.,dogs are gaming fetch,1
5841,A person wearing a helmet rides a dirty bike on a dirt path in the timber.,A person wearing a helmet rides a  bike on a dirt chemin.,0
5842,una person wearing a helmet rides a dirty bike on a dirt path in the woods.,He navigated his ATV into the lumber.,2
5843,A person wearing a helmet rides a dirty bicycles on a dirt path in the woods.,A boy wearing a helmet rides a dirt motorbike on a path in the woods.,1
5844,Two children laying on the floor with a group of wooden blocks above their chiefs.,Two infantile are playing with wooden blocks.,1
5845,Two children laying on the floor with a group of timber blocks above their heads.,Two children are sitting on chairman playing with blocks.,2
5846,Two children laying on the floor with a group of lumber blocks above their heads.,Children are laying on the flooring,0
5847,A man and a femme attired in jeans and white shirts sit and look off into the distance of a rocky terrain.,the two male are staring out across the flat desert terrain,2
5848,A bloke and a femmes dressed in jeans and white shirts sit and look off into the distance of a rocky terrain.,the man and girl are dressed in matching outfits,1
5849,A man and a woman costumed in jeans and white shirts sit and look off into the distancing of a rocky terrain.,the man and daughters look off into the distance,0
5850,A mec with a funny hat is dancing at a park.,man perform at the park,1
5851,A man with a funny beanie is dancing at a park.,girl sleeps sole,2
5852,una man with a funny hat is dancing at a park.,man dancers at park,0
5853,Several people peach on a cloudy day.,It is about to rainstorm,1
5854,Diverse people fishing on a cloudy day.,People are angling,0
5855,Several people fishery on a cloudy day.,The people are slept outside.,2
5856,A woman and some childhood standing on the pavement looking at a fountain that is frozen.,A woman and her children devouring dinner at their home.,2
5857,A woman and some children standing on the pavement search at a fountain that is frozen.,A woman and her children are looking at a frozen fontaine.,1
5858,A woman and some childhood standing on the pavement looking at a fountain that is frozen.,A women and some children are outdoors.,0
5859,A woman with a colorful headscarf is walks down the street.,A woman is walk to meet someone.,1
5860,A woman with a scenic headscarf is walking down the street.,A woman standing inland.,2
5861,A woman with a colorful headscarf is marche down the street.,A wife walking outside.,0
5862,two young girls lay on the rugs next to wooden blocks.,The daughters are in a sand box.,2
5863,deux young girls lay on the carpet next to wooden blocks.,The females are playing.,1
5864,two young dame lay on the carpet next to wooden blocks.,The female are on the carpet.,0
5865,Young people are playing in the snow while an older person seems to be taking photograph.,Youths people play in the snow.,0
5866,Young people are playing in the snow while an older persons seems to be taking pictures.,Youngster people play in the fresh snow.,1
5867,Young people are playing in the snow while an older anybody seems to be taking pictures.,People live in Los Angeles.,2
5868,A black and a negra dog are running side by side.,Two black dogs run forthcoming to each other,0
5869,A black and a black doggy are running side by side.,Two black dogs running next to each other in a field,1
5870,A black and a black dog are run side by side.,Two white doggies run next to each other,2
5871,"una male tennis player, wearing a white headband, misses an in-bounds ball.",The athletics narrowly misses returning a hit in competition.,1
5872,"A male tennis player, wear a white headband, misses an in-bounds ball.",A males has something light colored around his head.,0
5873,"A male tennis player, wearing a branca headband, misses an in-bounds ball.",The person fails to returning a ball that lands among the spectators in the bleachers.,2
5874,A man in white playing tennis is still in midair after jumping to knocked the ball.,The fella is wearing tennis shoes.,1
5875,una man in white playing tennis is still in midair after jumping to hit the ball.,The man is in the airlift.,0
5876,A man in white playing tennis is still in midair after skip to hit the ball.,The mec is sitting on the bench during a timeout.,2
5877,A man in a bianchi shirt is playing tennis.,A man clocks Serena Williams on TV.,2
5878,A dawg in a white shirt is playing tennis.,A fella playing tennis.,0
5879,A men in a white shirt is playing tennis.,A guy plays tennis against his arch rival.,1
5880,"Tennis player uses backhand in a match, possibly a doubles matchmaking.",tennis players are replay a match,0
5881,"Tennis player uses backhand in a matches, possibly a doubles match.",tennis protagonists are in a professional match,1
5882,"Tennis player uses backhand in a match, possibly a dual match.",tennis players are tobacco in a bar,2
